,Scoring,Start,Start_Frame,Stop,Stop_Frame,Subject,Behaviour,Value,phase,Partner,Initiation,Termination,_event,_interaction_subject_id,_percentage_start,_percentage_stop,_scope,_scoring_id,_social,_subject_id,_type,_type_name,_value,_value_color,_variable_id
23,Conceptofseeing_2023_11_8_PW_Beny_(pilot),63.7,3822,65.53333333,3932,Beny,latency_first_choice,non_visible,exploration,,,,FALSE,,0.0321352,0.033060075,3,7832,0,2318,LOOPY_scoring_duration_nonsocial,Nonsocial Duration,14104,#79f390,14082
24,Conceptofseeing_2023_11_8_PW_Beny_(pilot),65.65,3939,,,Beny,choice,unseen,exploration,,,,TRUE,,0.033118931,0.033118931,3,7832,0,2318,LOOPY_scoring_event_nonsocial,Nonsocial Event,14098,#79ebf3,14081
25,Conceptofseeing_2023_11_8_PW_Beny_(pilot),67.93333333,4076,,,Beny,food_taken,unseen,exploration,,,,TRUE,,0.03427082,0.03427082,3,7832,0,2318,LOOPY_scoring_event_nonsocial,Nonsocial Event,14112,#cdf379,14083
26,Conceptofseeing_2023_11_8_PW_Beny_(pilot),184.3833333,11063,187.0666667,11224,Beny,latency_first_choice,visible,exploration,,,,FALSE,,0.093017194,0.094370875,3,7832,0,2318,LOOPY_scoring_duration_nonsocial,Nonsocial Duration,14102,#b379f3,14082
27,Conceptofseeing_2023_11_8_PW_Beny_(pilot),187.0666667,11224,,,Beny,choice,seen,exploration,,,,TRUE,,0.094370875,0.094370875,3,7832,0,2318,LOOPY_scoring_event_nonsocial,Nonsocial Event,14097,#f379c8,14081
28,Conceptofseeing_2023_11_8_PW_Beny_(pilot),188.95,11337,,,Beny,food_taken,seen,exploration,,,,TRUE,,0.095320974,0.095320974,3,7832,0,2318,LOOPY_scoring_event_nonsocial,Nonsocial Event,14108,#79a9f3,14083
29,Conceptofseeing_2023_11_8_PW_Beny_(pilot),290.1333333,17408,752.3,45138,Beny,phase,pretest1a,pretest1a,,,,FALSE,,0.146365662,0.379518224,3,7832,0,2318,LOOPY_scoring_duration_nonsocial,Nonsocial Duration,14088,#dc79f3,14080
30,Conceptofseeing_2023_11_8_PW_Beny_(pilot),387.2666667,23236,,,Beny,approach,yes_approach,pretest1a,,,,TRUE,,0.195367217,0.195367217,3,7832,0,2318,LOOPY_scoring_event_nonsocial,Nonsocial Event,15138,#02d779,15136
31,Conceptofseeing_2023_11_8_PW_Beny_(pilot),725.8,43548,,,Beny,approach,no_approach,pretest1a,,,,TRUE,,0.366149578,0.366149578,3,7832,0,2318,LOOPY_scoring_event_nonsocial,Nonsocial Event,15139,#02d779,15136
32,Conceptofseeing_2023_11_8_PW_Beny_(pilot),752.35,45141,902.7,54162,Beny,phase,pretest2,pretest2,,,,FALSE,,0.379543448,0.4553916,3,7832,0,2318,LOOPY_scoring_duration_nonsocial,Nonsocial Duration,14089,#79f3b8,14080
