"","Estimate","SE","LowerCI","UpperCI","Chi2","df","p","z_wald","p_wald"
"(Intercept)","-0.48","0.58","-1.70","0.64","  NA",NA,"   NA",-0.830516974977393,0.406246554422909
"conditioncue"," 0.88","0.73","-0.53","2.38","1.49",1,"0.222",1.2062104647691,0.227736349947744
"sexM"," 0.58","0.73","-0.84","2.04","0.64",1,"0.423",0.79715111566068,0.425363272758011
